                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.034,                  2.501,                 1.3753,                0.47778,                0.33214,                0.36538,                0.25012,                  1.228,                 2.5316,                 1.6553,             0.00036472,             0.00036472,             0.00036472
                      2,                  1.026,                 1.6795,                 1.3177,                0.44457,                0.32577,                0.31241,                0.18138,                 1.5574,                 2.6368,                 1.8805,              0.0007205,              0.0007205,              0.0007205
                      3,                 1.0588,                 1.5559,                 1.3304,                0.35757,                0.26707,                0.24675,                0.15078,                 1.6461,                 2.8574,                 2.0743,              0.0010616,              0.0010616,              0.0010616
                      4,                 1.0595,                  1.435,                 1.3256,                0.63301,                0.51956,                0.52459,                  0.364,                 1.1836,                 1.6702,                 1.4876,               0.001045,               0.001045,               0.001045
                      5,                 1.0204,                 1.3239,                 1.3012,                0.59669,                0.47039,                0.46671,                0.31525,                 1.3438,                 1.8766,                 1.6294,               0.001023,               0.001023,               0.001023
                      6,                0.98802,                 1.2652,                 1.2807,                0.68482,                0.36118,                0.41741,                0.29983,                 1.2396,                 2.0814,                 1.5673,               0.001001,               0.001001,               0.001001
                      7,                0.94596,                  1.181,                 1.2582,                0.62503,                0.50827,                0.52775,                0.35812,                 1.2307,                 1.7965,                 1.5186,             0.00097901,             0.00097901,             0.00097901
                      8,                0.93912,                 1.1727,                 1.2524,                0.64474,                0.56615,                0.56648,                 0.4082,                 1.1044,                 1.4325,                 1.3955,             0.00095702,             0.00095702,             0.00095702
                      9,                 0.9102,                 1.1042,                 1.2321,                0.61377,                0.44024,                0.44054,                0.29171,                  1.418,                  2.036,                 1.7492,             0.00093502,             0.00093502,             0.00093502
                     10,                0.90051,                 1.1128,                 1.2329,                0.66288,                0.56212,                0.57657,                0.42812,                 1.0439,                 1.3781,                 1.3752,             0.00091302,             0.00091302,             0.00091302
                     11,                0.87695,                 1.0621,                 1.2129,                 0.7324,                0.58848,                0.63428,                  0.479,                0.99651,                 1.2783,                 1.3188,             0.00089102,             0.00089102,             0.00089102
                     12,                0.86794,                 1.0384,                 1.2104,                0.69729,                0.57723,                0.61466,                0.46487,                0.98426,                 1.3154,                 1.2905,             0.00086902,             0.00086902,             0.00086902
                     13,                0.84589,                 1.0122,                 1.1939,                0.76377,                0.57488,                0.62206,                0.48208,                0.98193,                 1.4086,                  1.288,             0.00084703,             0.00084703,             0.00084703
                     14,                 0.8409,                 1.0028,                 1.1943,                0.73716,                0.58194,                0.61656,                0.47045,                0.97494,                 1.2718,                 1.2978,             0.00082503,             0.00082503,             0.00082503
                     15,                0.83269,                0.99312,                 1.1881,                0.72925,                0.65871,                0.67146,                0.51646,                0.96445,                 1.1504,                 1.2786,             0.00080303,             0.00080303,             0.00080303
                     16,                 0.8169,                0.97032,                  1.176,                0.72322,                0.62764,                0.64928,                0.51562,                0.89396,                 1.2117,                 1.2101,             0.00078103,             0.00078103,             0.00078103
                     17,                0.80942,                0.94367,                 1.1738,                0.77063,                0.65278,                0.67471,                0.52328,                0.93054,                 1.1224,                 1.2753,             0.00075904,             0.00075904,             0.00075904
                     18,                0.79812,                 0.9156,                 1.1648,                0.76972,                0.64782,                0.67471,                0.52424,                0.94611,                 1.1665,                 1.2792,             0.00073704,             0.00073704,             0.00073704
                     19,                0.79546,                0.92805,                 1.1677,                0.70237,                0.58993,                0.62523,                0.48773,                0.94389,                 1.3408,                  1.263,             0.00071504,             0.00071504,             0.00071504
                     20,                0.78796,                0.90074,                 1.1594,                 0.7937,                0.62881,                0.67923,                0.53838,                0.89636,                 1.1317,                 1.2231,             0.00069304,             0.00069304,             0.00069304
                     21,                0.77683,                0.89407,                 1.1553,                0.77043,                0.64952,                0.67795,                0.53078,                0.94481,                 1.1484,                 1.2831,             0.00067104,             0.00067104,             0.00067104
                     22,                0.76988,                0.87284,                 1.1487,                 0.7822,                0.58057,                0.64606,                0.49942,                0.98415,                 1.2568,                 1.3389,             0.00064905,             0.00064905,             0.00064905
                     23,                0.75845,                0.86125,                 1.1387,                0.79589,                0.59845,                0.66011,                0.51572,                0.94058,                 1.2536,                 1.2678,             0.00062705,             0.00062705,             0.00062705
                     24,                0.74792,                0.85288,                 1.1374,                0.77834,                0.62185,                 0.6701,                0.52438,                0.90587,                 1.1526,                 1.2396,             0.00060505,             0.00060505,             0.00060505
                     25,                0.74499,                0.84015,                 1.1325,                0.79425,                0.63261,                0.68199,                0.54278,                0.87464,                 1.1686,                 1.2201,             0.00058305,             0.00058305,             0.00058305
                     26,                0.72913,                0.82521,                 1.1259,                0.82123,                 0.6507,                0.71069,                 0.5753,                0.87297,                 1.0181,                 1.2417,             0.00056105,             0.00056105,             0.00056105
                     27,                0.72832,                 0.8151,                 1.1244,                0.80516,                0.64089,                0.68278,                0.53893,                0.91004,                  1.135,                 1.2523,             0.00053906,             0.00053906,             0.00053906
                     28,                0.72496,                0.79981,                 1.1193,                0.81781,                0.67324,                0.71807,                 0.5804,                0.85516,                 1.0191,                 1.2117,             0.00051706,             0.00051706,             0.00051706
                     29,                 0.7077,                0.78046,                 1.1123,                0.81943,                0.65241,                0.70733,                0.56773,                0.88518,                 1.0854,                 1.2365,             0.00049506,             0.00049506,             0.00049506
                     30,                 0.7089,                0.79378,                 1.1106,                0.81454,                 0.6535,                0.70862,                 0.5778,                0.83514,                 1.0212,                 1.1877,             0.00047306,             0.00047306,             0.00047306
                     31,                0.70341,                0.78381,                 1.1082,                0.80066,                0.63582,                 0.6888,                0.56186,                  0.841,                  1.094,                  1.196,             0.00045107,             0.00045107,             0.00045107
                     32,                0.69217,                0.76714,                 1.1054,                0.82757,                0.67122,                0.71524,                0.58462,                0.84441,                0.99709,                 1.2054,             0.00042907,             0.00042907,             0.00042907
                     33,                0.69387,                0.75672,                 1.1004,                0.84614,                0.66842,                0.72037,                0.58897,                0.81838,                 1.0417,                 1.1975,             0.00040707,             0.00040707,             0.00040707
                     34,                0.68143,                0.73449,                 1.0925,                0.83092,                0.66234,                0.71954,                0.58846,                0.82538,                 1.0164,                 1.1893,             0.00038507,             0.00038507,             0.00038507
                     35,                0.67167,                0.72664,                 1.0896,                0.82056,                0.66307,                0.71206,                0.58527,                0.83858,                 1.0047,                 1.2216,             0.00036307,             0.00036307,             0.00036307
                     36,                0.66866,                0.73056,                 1.0886,                0.81343,                0.65053,                0.71382,                0.58373,                0.82886,                  1.019,                 1.1959,             0.00034108,             0.00034108,             0.00034108
                     37,                0.67325,                0.71518,                 1.0885,                0.83591,                0.64318,                0.70907,                0.57839,                0.85456,                 1.0925,                 1.2248,             0.00031908,             0.00031908,             0.00031908
                     38,                0.66064,                0.70184,                 1.0846,                0.83024,                0.67687,                 0.7307,                0.59991,                0.80078,                0.96271,                 1.1788,             0.00029708,             0.00029708,             0.00029708
                     39,                0.64625,                0.69011,                 1.0736,                0.85825,                0.66565,                0.73137,                0.59894,                0.80749,                0.96636,                 1.1717,             0.00027508,             0.00027508,             0.00027508
                     40,                0.64721,                0.68291,                 1.0731,                0.84963,                0.66828,                0.73354,                0.60699,                 0.8069,                0.97894,                  1.191,             0.00025309,             0.00025309,             0.00025309
                     41,                0.57536,                0.55147,                 1.0412,                0.82283,                0.64837,                0.71253,                0.58876,                0.82123,                0.97566,                  1.196,             0.00023109,             0.00023109,             0.00023109
                     42,                0.54401,                 0.5064,                 1.0207,                0.82464,                0.64839,                0.71928,                0.58923,                0.83104,                0.99058,                 1.2055,             0.00020909,             0.00020909,             0.00020909
                     43,                0.53214,                0.48365,                 1.0133,                0.83908,                0.67044,                0.73435,                0.60304,                0.81503,                0.94367,                 1.1925,             0.00018709,             0.00018709,             0.00018709
                     44,                0.51737,                 0.4702,                 1.0003,                0.85336,                0.66664,                 0.7303,                 0.6032,                0.80716,                0.92873,                 1.2002,             0.00016509,             0.00016509,             0.00016509
                     45,                0.50428,                0.45431,                0.99371,                0.84106,                0.67677,                0.73195,                0.60338,                0.80869,                0.95511,                 1.1919,              0.0001431,              0.0001431,              0.0001431
                     46,                0.49751,                0.44476,                0.98229,                 0.8403,                0.68821,                0.73732,                0.61444,                0.79162,                0.92809,                  1.184,              0.0001211,              0.0001211,              0.0001211
                     47,                0.48643,                 0.4266,                0.97913,                0.82642,                0.67133,                0.73294,                0.60953,                0.79779,                0.93866,                 1.1923,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     48,                0.48337,                0.42018,                0.97435,                0.86499,                 0.6629,                0.73641,                0.61464,                0.78251,                0.91492,                  1.185,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     49,                0.47237,                0.41247,                0.96958,                0.85499,                0.66442,                0.73619,                0.61208,                0.78814,                0.91731,                 1.1936,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     50,                0.46689,                0.40298,                0.96688,                0.82376,                0.67634,                0.73721,                0.61188,                0.79566,                0.92831,                 1.2013,             3.3108e-05,             3.3108e-05,             3.3108e-05
